SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,No,No,3,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.6,155.65,1
0,No,No,25,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,536.35,0
0,No,No,41,No,No,Yes,Yes,One year,Yes,Electronic check,68.6,2877.05,0
0,No,No,5,No,No,Yes,No,One year,Yes,Mailed check,70.0,347.4,1
0,No,No,60,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.6,1093.0,0
0,No,No,30,No,No,No,No,Month-to-month,Yes,Electronic check,90.25,2755.35,1
0,No,No,43,No,Yes,No,No,Month-to-month,Yes,Electronic check,101.4,4528.0,1
0,No,No,6,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),49.5,312.7,0
0,No,No,40,No,Yes,No,No,Month-to-month,No,Credit card (automatic),74.8,2971.7,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.85,43.85,0
0,Yes,Yes,5,No,No,No,No,Month-to-month,No,Mailed check,44.8,220.45,0
0,No,No,1,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,1
0,Yes,Yes,64,No,Yes,Yes,Yes,Two year,No,Electronic check,49.85,3210.35,0
0,No,No,8,Yes,No,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1
1,Yes,No,58,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,1
0,Yes,No,60,No,Yes,Yes,No,One year,No,Bank transfer (automatic),102.5,6157.6,0
0,No,No,2,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.0,184.65,1
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,69.2,69.2,1
0,Yes,No,72,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.0,1776.0,0
0,Yes,Yes,23,No,No,No,No,Month-to-month,No,Electronic check,85.6,1868.4,0
0,Yes,No,62,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.6,6912.7,0
0,Yes,Yes,4,No,No,No,No,Month-to-month,Yes,Electronic check,85.95,381.3,1
0,Yes,Yes,64,No,Yes,Yes,No,One year,Yes,Electronic check,92.85,5980.75,0
0,Yes,Yes,4,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.85,84.2,0
1,Yes,No,13,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.45,849.1,0
0,Yes,Yes,28,Yes,No,Yes,Yes,One year,No,Mailed check,50.8,1386.8,0
0,Yes,Yes,57,No,Yes,No,No,One year,Yes,Electronic check,95.0,5535.8,0
0,Yes,Yes,52,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.05,4326.8,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),106.1,7548.6,0
0,Yes,No,25,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.55,1405.3,0
0,Yes,Yes,27,Yes,Yes,No,No,One year,Yes,Credit card (automatic),80.65,2209.75,0
0,No,No,53,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),46.3,2546.85,0
0,Yes,No,72,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.3,1304.8,0
0,No,No,5,No,Yes,Yes,No,Month-to-month,No,Electronic check,96.55,500.1,0
0,Yes,Yes,72,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),75.4,5480.25,0
1,Yes,Yes,62,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,0
0,Yes,No,42,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,1108.2,0
0,No,No,18,Yes,No,No,No,Month-to-month,No,Electronic check,49.4,874.8,1
1,No,No,70,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),75.5,5212.65,0
0,No,No,9,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,190.25,0
0,No,No,2,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.65,31.2,0
0,No,Yes,5,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,83.75,0
1,No,No,65,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.1,6496.15,0
0,Yes,Yes,52,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.85,1070.5,0
0,No,No,7,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,715.0,0
0,Yes,No,1,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,53.55,53.55,0
0,No,No,18,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.05,1679.4,0
0,Yes,Yes,60,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.95,1270.55,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,20.15,1
1,No,No,2,No,No,No,No,Month-to-month,Yes,Electronic check,44.15,92.65,1
0,No,No,72,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,0
0,No,No,2,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,39.25,0
1,Yes,No,50,No,Yes,No,No,Month-to-month,Yes,Electronic check,88.05,4367.35,1
0,Yes,Yes,1,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,69.95,0
0,Yes,No,64,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.1,4818.8,0
1,Yes,No,43,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),55.55,2342.2,1
1,No,No,1,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,0
0,No,No,26,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.9,518.3,0
1,Yes,No,68,Yes,Yes,No,No,One year,Yes,Credit card (automatic),96.55,6581.9,1
0,No,Yes,13,No,Yes,No,No,Month-to-month,No,Electronic check,30.15,382.2,0
0,No,No,7,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.45,593.45,1
0,Yes,Yes,43,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),75.2,3254.35,0
0,No,Yes,19,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.6,1297.8,0
0,Yes,Yes,55,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.0,1087.25,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),111.95,8033.1,0
0,Yes,Yes,28,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.55,543.8,0
0,No,No,37,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),98.8,3475.55,1
1,Yes,No,10,No,No,No,No,Month-to-month,No,Electronic check,85.55,851.75,1
0,Yes,Yes,72,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),95.9,6954.15,0
0,No,No,11,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,990.3,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.4,8543.25,0
0,No,No,2,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.4,77.15,1
0,Yes,Yes,26,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.15,515.75,0
0,Yes,Yes,64,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.2,6741.15,0
1,Yes,No,68,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),60.65,3975.9,0
0,Yes,Yes,35,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),46.35,1662.05,0
0,No,Yes,1,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1
0,No,No,23,No,No,No,No,Month-to-month,Yes,Electronic check,44.95,996.85,0
0,Yes,No,17,No,Yes,No,No,Month-to-month,Yes,Mailed check,49.8,836.35,0
1,Yes,No,66,No,Yes,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0
0,No,No,3,No,No,No,No,Month-to-month,No,Mailed check,54.65,189.1,0
0,No,No,30,Yes,No,Yes,No,Two year,Yes,Mailed check,55.65,1653.85,0
1,No,No,6,No,No,No,No,Month-to-month,Yes,Electronic check,79.7,497.6,0
1,Yes,Yes,12,No,No,No,Yes,Month-to-month,Yes,Mailed check,29.3,355.9,0
0,Yes,No,68,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),79.6,5515.8,0
0,Yes,No,48,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.05,4834.0,0
0,Yes,No,57,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),70.35,4124.65,0
1,Yes,No,18,No,No,No,No,Month-to-month,No,Electronic check,78.55,1422.65,1
0,No,No,21,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,43.55,1011.5,0
0,Yes,No,26,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.2,459.6,0
0,No,Yes,4,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,87.1,341.45,1
0,Yes,No,72,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.9,8240.85,0
1,No,No,1,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1
1,Yes,No,40,Yes,No,No,No,Month-to-month,No,Electronic check,101.85,4086.3,1
0,Yes,Yes,62,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.95,1244.8,0
0,Yes,No,48,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),105.1,5083.55,0
0,Yes,No,14,No,Yes,Yes,Yes,Two year,No,Mailed check,81.95,1181.75,0
0,Yes,Yes,39,No,Yes,Yes,Yes,One year,Yes,Electronic check,89.55,3474.45,1
0,No,No,9,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,69.5,653.25,0
0,Yes,Yes,57,No,Yes,No,No,Month-to-month,Yes,Electronic check,100.6,5611.7,0
0,No,No,28,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),30.1,810.85,0
0,Yes,Yes,22,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.75,1885.15,0
0,Yes,No,45,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.5,1121.05,0
0,Yes,No,70,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),64.95,4523.25,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,1
0,Yes,Yes,16,Yes,Yes,No,No,One year,Yes,Mailed check,55.85,857.8,0
0,Yes,Yes,41,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.0,879.8,0
0,Yes,Yes,53,Yes,Yes,No,Yes,Two year,Yes,Mailed check,69.7,3729.6,0
0,No,No,26,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.65,2537.0,0
0,Yes,Yes,14,No,No,No,No,Month-to-month,Yes,Electronic check,84.8,1203.9,0
0,Yes,Yes,70,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4,1782.05,0
0,No,No,26,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),87.15,2274.1,0
0,No,No,57,No,Yes,Yes,Yes,Two year,No,Mailed check,69.75,3894.4,0
0,Yes,Yes,70,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0
0,Yes,Yes,72,No,Yes,Yes,No,One year,Yes,Credit card (automatic),104.45,7459.0,0
1,No,No,49,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),103.0,5166.2,0
0,Yes,Yes,72,Yes,No,No,No,Two year,No,Bank transfer (automatic),79.05,5730.7,0
0,No,No,37,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),90.6,3358.65,0
0,Yes,Yes,60,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),60.5,3694.45,0
0,Yes,Yes,64,Yes,Yes,Yes,Yes,One year,No,Electronic check,113.35,7222.75,0
0,No,Yes,12,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,871.4,1
0,No,No,7,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1
0,No,No,4,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,237.95,1
0,No,No,3,No,No,No,No,Month-to-month,Yes,Electronic check,75.8,246.3,1
1,No,Yes,1,No,No,Yes,No,Month-to-month,Yes,Mailed check,50.15,50.15,1
0,Yes,Yes,3,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.75,264.85,1
0,No,No,2,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.6,87.9,0
0,No,No,23,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,1
1,Yes,No,9,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.25,204.55,0
0,Yes,No,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.95,7556.9,0
0,Yes,No,51,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.85,4307.1,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.7,4575.35,0
0,Yes,Yes,69,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),59.1,4134.7,0
0,No,No,35,No,No,No,No,Month-to-month,No,Mailed check,55.0,2010.55,1
0,Yes,No,12,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.05,264.55,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,79.05,79.05,1
0,Yes,Yes,60,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.6,4946.7,0
1,Yes,No,70,No,Yes,Yes,No,One year,Yes,Electronic check,104.8,7308.95,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,55.0,55.0,1
0,No,No,30,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,0
0,No,No,10,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),54.5,568.2,0
0,No,No,11,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.5,795.65,0
0,No,No,5,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1
0,Yes,Yes,72,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),71.45,5025.85,0
0,Yes,No,31,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),75.5,2424.45,0
1,No,No,38,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),57.15,2250.65,1
0,No,No,12,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.0,1062.1,1
1,No,No,34,No,Yes,Yes,No,One year,Yes,Electronic check,99.85,3343.15,0
0,Yes,No,22,Yes,No,No,No,One year,Yes,Bank transfer (automatic),59.75,1374.35,0
0,No,No,33,No,Yes,Yes,No,Month-to-month,No,Electronic check,107.55,3645.5,0
0,No,No,58,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1131.5,0
0,No,No,64,Yes,Yes,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.6,8220.4,0
0,Yes,Yes,25,No,Yes,Yes,No,One year,No,Mailed check,53.65,1355.45,0
0,No,No,11,Yes,No,No,No,Month-to-month,No,Electronic check,76.4,838.7,0
1,No,No,9,No,No,No,No,Month-to-month,Yes,Electronic check,84.45,762.5,1
0,Yes,No,37,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.5,3762.0,1
0,Yes,Yes,2,No,Yes,No,No,Month-to-month,Yes,Mailed check,30.25,63.75,0
1,No,No,2,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,1
0,Yes,No,4,No,Yes,No,No,Month-to-month,Yes,Electronic check,48.55,201.0,1
0,No,No,58,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),71.1,4299.2,0
0,No,No,4,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),82.85,319.6,0
0,No,No,1,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,0
0,Yes,No,62,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),38.6,2345.55,0
0,Yes,No,55,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),66.05,3462.1,0
1,Yes,No,66,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),107.35,7051.95,0
1,Yes,No,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.65,8333.95,0
0,Yes,No,52,Yes,No,No,No,Month-to-month,No,Electronic check,84.1,4348.65,1
1,No,No,19,Yes,No,No,No,Month-to-month,Yes,Electronic check,87.3,1637.3,0
0,Yes,Yes,6,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.15,295.65,0
1,No,No,53,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.8,4003.85,0
0,No,No,12,Yes,No,No,Yes,Month-to-month,No,Mailed check,56.65,654.85,1
0,Yes,Yes,15,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,284.3,0
0,Yes,Yes,71,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,0
0,Yes,No,30,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,576.65,0
0,Yes,Yes,72,No,Yes,Yes,No,One year,Yes,Credit card (automatic),103.2,7362.9,0
0,No,No,16,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,275.7,0
1,Yes,No,70,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),105.35,7511.9,0
0,No,No,25,No,No,No,No,Month-to-month,Yes,Electronic check,84.8,2043.45,1
0,No,No,13,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,1029.35,0
0,No,No,63,Yes,Yes,Yes,Yes,One year,No,Electronic check,71.5,4576.3,0
0,Yes,No,29,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.3,2263.4,0
0,No,No,1,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.65,44.65,1
0,Yes,Yes,26,No,No,No,No,Month-to-month,Yes,Electronic check,90.8,2361.8,1
0,No,No,10,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.75,208.25,0
0,Yes,Yes,10,No,Yes,No,No,One year,No,Mailed check,49.55,475.7,0
0,No,No,9,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,633.85,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Mailed check,85.45,85.45,1
0,No,No,10,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.5,225.85,0
0,No,No,54,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),87.1,4735.2,0
0,Yes,Yes,38,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.3,749.35,0
0,No,No,12,No,No,No,No,Month-to-month,Yes,Electronic check,96.05,1148.1,1
1,No,No,40,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,0
0,No,No,46,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.1,937.1,0
0,No,No,56,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),64.65,3665.55,0
0,Yes,No,54,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65,6049.5,0
0,Yes,No,46,Yes,Yes,Yes,Yes,Two year,No,Mailed check,65.65,3047.15,0
0,Yes,Yes,24,Yes,Yes,No,No,One year,No,Electronic check,78.4,1832.4,0
0,No,No,68,Yes,Yes,Yes,No,One year,No,Credit card (automatic),76.75,5233.25,0
0,Yes,Yes,11,No,No,No,No,Month-to-month,No,Electronic check,90.6,1020.2,0
0,No,No,31,No,Yes,Yes,No,One year,Yes,Electronic check,103.45,3066.45,1
0,No,No,15,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,1
0,No,No,6,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.7,335.65,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.65,7726.35,0
0,Yes,No,40,No,Yes,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,0
1,No,No,57,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.75,4438.2,0
0,Yes,Yes,63,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),39.35,2395.05,0
0,No,No,3,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0
0,No,No,10,No,No,No,No,Month-to-month,No,Mailed check,45.25,428.7,0
0,No,No,13,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,78.75,995.35,0
0,Yes,No,70,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),74.8,5315.8,0
0,Yes,Yes,30,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0
0,No,Yes,40,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.1,2460.35,0
1,No,No,22,No,No,No,No,Month-to-month,Yes,Electronic check,96.7,2082.95,1
0,No,No,40,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.1,2092.9,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.3,19.3,1
0,No,No,47,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),86.95,4138.9,0
0,Yes,No,27,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,53.8,1389.85,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,45.6,45.6,1
0,Yes,No,10,No,No,Yes,No,Month-to-month,Yes,Electronic check,98.5,1037.75,1
0,No,No,18,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.65,1451.9,1
1,Yes,No,46,No,No,Yes,No,Month-to-month,Yes,Electronic check,101.0,4680.05,1
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.25,20.25,0
0,Yes,Yes,57,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),65.2,3687.85,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,69.8,1
0,Yes,No,3,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.1,228.0,1
0,No,No,6,Yes,Yes,No,No,Month-to-month,No,Electronic check,56.25,389.1,1
0,Yes,No,64,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),104.05,6605.55,0
0,No,No,72,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),113.4,8164.1,0
0,Yes,No,63,Yes,No,Yes,No,Two year,No,Credit card (automatic),99.7,6330.4,0
0,No,No,12,No,Yes,No,Yes,Month-to-month,No,Mailed check,34.0,442.45,0
0,No,No,12,No,No,No,Yes,Month-to-month,Yes,Mailed check,99.95,1132.75,1
0,Yes,Yes,72,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),83.6,5959.3,0
0,Yes,Yes,44,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.9,2549.1,0
0,No,No,4,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,63.0,0
0,Yes,Yes,29,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,654.85,0
1,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),64.8,4732.35,0
0,No,No,2,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.25,131.05,1
0,Yes,No,72,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.15,1776.45,0
0,Yes,Yes,64,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.05,1559.15,0
0,Yes,No,43,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),86.1,3551.65,0
0,Yes,No,71,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),73.5,5357.75,0
0,Yes,No,69,No,Yes,No,Yes,Two year,Yes,Mailed check,92.45,6460.55,0
1,Yes,No,41,No,Yes,No,No,Month-to-month,Yes,Electronic check,94.55,3851.45,0
0,No,No,2,No,Yes,No,No,Month-to-month,No,Electronic check,51.4,96.8,0
1,No,No,71,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),99.65,7181.25,0
0,No,No,8,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.7,553.4,0
0,Yes,No,14,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),48.8,664.4,0
0,No,No,6,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.65,483.3,0
0,No,Yes,18,Yes,No,No,No,Month-to-month,No,Mailed check,57.65,992.7,0
0,No,No,3,No,No,No,No,Month-to-month,Yes,Mailed check,50.65,151.3,1
0,No,No,64,No,No,Yes,No,One year,Yes,Credit card (automatic),100.05,6254.2,1
0,No,No,66,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,0
0,Yes,Yes,56,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.6,5953.0,0
0,No,No,2,No,No,Yes,No,Month-to-month,No,Mailed check,80.6,155.8,1
0,No,No,22,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.25,605.9,0
0,No,No,57,No,No,No,No,One year,Yes,Electronic check,86.9,4939.25,0
0,Yes,No,68,Yes,No,Yes,No,One year,Yes,Electronic check,54.4,3723.65,0
0,No,No,10,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.0,198.6,0
0,Yes,Yes,69,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),106.35,7261.75,0
0,No,No,1,Yes,No,No,No,Month-to-month,No,Mailed check,29.7,29.7,1
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,70.3,1
0,No,No,10,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.2,222.65,0
1,Yes,No,65,Yes,No,No,No,One year,Yes,Electronic check,100.75,6674.65,0
0,No,No,38,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,69.95,2657.55,0
0,Yes,No,50,No,No,No,Yes,One year,No,Electronic check,99.4,5059.75,0
0,Yes,Yes,6,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.5,502.85,1
0,No,Yes,9,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.9,651.4,1
0,No,No,1,No,No,Yes,No,Month-to-month,Yes,Mailed check,49.65,49.65,1
1,No,No,14,No,No,No,No,Month-to-month,Yes,Electronic check,74.3,1096.25,1
0,Yes,Yes,72,No,Yes,Yes,No,Two year,Yes,Electronic check,103.4,7372.65,1
0,Yes,No,72,Yes,No,No,No,Two year,No,Bank transfer (automatic),80.45,5737.6,0
1,Yes,No,18,No,No,Yes,No,Month-to-month,Yes,Electronic check,48.35,810.7,1
0,Yes,Yes,46,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.25,890.35,0
0,No,No,15,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,289.3,1
1,Yes,No,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,0
0,No,Yes,3,No,Yes,No,No,Month-to-month,No,Mailed check,29.65,90.05,0
0,No,Yes,11,No,No,No,No,Month-to-month,No,Electronic check,25.2,321.05,0
0,No,No,44,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),85.25,3704.15,0
1,Yes,No,72,Yes,No,No,No,Two year,No,Bank transfer (automatic),78.5,5602.25,0
